#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM22	DLG1	9606.ENSP00000265727	9606.ENSP00000345731	0	0	0	0	0.049	0.091	0	0.525	0.554
ADAM22	KCNA4	9606.ENSP00000265727	9606.ENSP00000328511	0	0	0	0	0.126	0	0	0.541	0.582
ADAM22	DLG2	9606.ENSP00000265727	9606.ENSP00000365272	0	0	0	0	0.116	0.091	0	0.899	0.912
ADAM22	DLG4	9606.ENSP00000265727	9606.ENSP00000497806	0	0	0	0	0.106	0.331	0.800	0.981	0.997
DLG1	KCNA4	9606.ENSP00000345731	9606.ENSP00000328511	0	0	0	0	0.054	0.828	0	0.599	0.929
DLG1	GRIN2A	9606.ENSP00000345731	9606.ENSP00000332549	0	0	0	0	0.042	0.506	0.500	0.923	0.979
DLG1	SHANK3	9606.ENSP00000345731	9606.ENSP00000489407	0	0	0	0	0.080	0.114	0	0.535	0.587
DLG1	DLG4	9606.ENSP00000345731	9606.ENSP00000497806	0	0	0.053	0.973	0	0.138	0.800	0.764	0.956
DLG1	DLG2	9606.ENSP00000345731	9606.ENSP00000365272	0	0	0.054	0.969	0	0	0.900	0.637	0.962
DLG1	UBE3A	9606.ENSP00000345731	9606.ENSP00000497594	0	0	0	0	0.082	0.292	0.900	0.658	0.974
DLG1	DLG3	9606.ENSP00000345731	9606.ENSP00000363480	0	0	0.056	0.966	0.057	0.606	0.900	0.396	0.974
DLG1	GRIN2B	9606.ENSP00000345731	9606.ENSP00000477455	0	0	0	0	0	0.593	0.400	0.970	0.992
DLG2	KCNA4	9606.ENSP00000365272	9606.ENSP00000328511	0	0	0	0	0.121	0.454	0	0.853	0.923
DLG2	GRIN2A	9606.ENSP00000365272	9606.ENSP00000332549	0	0	0	0	0.115	0.278	0.500	0.992	0.997
DLG2	TJAP1	9606.ENSP00000365272	9606.ENSP00000361522	0	0	0	0	0	0	0.900	0.796	0.978
DLG2	DLG3	9606.ENSP00000365272	9606.ENSP00000363480	0	0	0.055	0.965	0.061	0.217	0.900	0.815	0.984
DLG2	UBE3A	9606.ENSP00000365272	9606.ENSP00000497594	0	0	0	0	0	0	0.900	0.167	0.913
DLG2	SHANK3	9606.ENSP00000365272	9606.ENSP00000489407	0	0	0	0	0.080	0.114	0.500	0.826	0.919
DLG2	DLG4	9606.ENSP00000365272	9606.ENSP00000497806	0	0	0.056	0.966	0.087	0.386	0.400	0.918	0.969
DLG2	GRIN2B	9606.ENSP00000365272	9606.ENSP00000477455	0	0	0	0	0.109	0.506	0.400	0.988	0.996
DLG3	KCNA4	9606.ENSP00000363480	9606.ENSP00000328511	0	0	0	0	0.054	0.355	0	0.272	0.517
DLG3	GRIN2A	9606.ENSP00000363480	9606.ENSP00000332549	0	0	0	0	0	0.506	0.500	0.995	0.998
DLG3	TJAP1	9606.ENSP00000363480	9606.ENSP00000361522	0	0	0	0	0	0	0.900	0.148	0.911
DLG3	SHANK3	9606.ENSP00000363480	9606.ENSP00000489407	0	0	0	0	0.080	0.114	0.500	0.479	0.759
DLG3	UBE3A	9606.ENSP00000363480	9606.ENSP00000497594	0	0	0	0	0	0	0.900	0.166	0.913
DLG3	DLG4	9606.ENSP00000363480	9606.ENSP00000497806	0	0	0.057	0.965	0	0.547	0.900	0.955	0.997
DLG3	GRIN2B	9606.ENSP00000363480	9606.ENSP00000477455	0	0	0	0	0	0.739	0.400	0.994	0.998
DLG4	KCNA4	9606.ENSP00000497806	9606.ENSP00000328511	0	0	0	0	0.097	0.882	0	0.976	0.997
DLG4	GRIN2A	9606.ENSP00000497806	9606.ENSP00000332549	0	0	0	0	0.083	0.908	0.900	0.998	0.999
DLG4	GRIN2B	9606.ENSP00000497806	9606.ENSP00000477455	0	0	0	0	0.067	0.918	0.900	0.999	0.999
DLG4	SHANK3	9606.ENSP00000497806	9606.ENSP00000489407	0	0	0	0	0.087	0.114	0.500	0.993	0.996
DLG4	UBE3A	9606.ENSP00000497806	9606.ENSP00000497594	0	0	0	0	0	0	0	0.447	0.447
GRIN2A	KCNA4	9606.ENSP00000332549	9606.ENSP00000328511	0	0	0	0	0.121	0	0	0.641	0.671
GRIN2A	SHANK3	9606.ENSP00000332549	9606.ENSP00000489407	0	0	0	0	0.050	0.099	0	0.611	0.638
GRIN2A	GRIN2B	9606.ENSP00000332549	9606.ENSP00000477455	0	0	0	0.943	0.204	0.910	0.900	0.983	0.999
GRIN2B	SHANK3	9606.ENSP00000477455	9606.ENSP00000489407	0	0	0	0	0.050	0.099	0	0.769	0.785
SHANK3	UBE3A	9606.ENSP00000489407	9606.ENSP00000497594	0	0	0	0	0	0	0	0.647	0.647
